,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
104,ID_0B7IUMF,2010-11-13,2011-11-12,Male,53.0,2010-11-13,2,,White,Range Rover,Ikorodu,Lagos,Car Classic,0
105,ID_0BBIOBG,2010-05-17,2011-05-16,Female,44.0,2010-05-17,1,Saloon,,TOYOTA,,,CarSafe,0
106,ID_0BN4W5V,2010-07-01,2010-12-31,Male,35.0,2010-07-01,2,JEEP,,Lexus,,,Car Classic,0
107,ID_0BNN4SR,2010-07-31,2011-07-30,Female,,2010-07-31,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
108,ID_0BUJCEP,2010-12-16,2011-12-15,Female,73.0,2010-12-16,2,JEEP,,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Customized Motor,0
109,ID_0BXLGTA,2010-12-27,2011-12-26,Male,34.0,2010-12-27,1,JEEP,,Lexus,Awka,Anambra,Car Classic,0
110,ID_0C14U0E,2010-10-11,2011-10-09,Male,41.0,2010-10-11,1,,,nan,,,CarSafe,0
111,ID_0C6NVMA,2010-02-25,2011-02-24,Female,56.0,2010-02-25,1,JEEP,,Hyundai,,,CarSafe,0
112,ID_0CIS10Q,2010-11-18,2011-11-17,,,2010-11-18,2,,,nan,Victoria Island,Lagos,Motor Cycle,0
113,ID_0CJO0AT,2010-08-02,2011-07-08,Female,29.0,2010-08-02,1,,,nan,,,Car Classic,0
114,ID_0CM4BI3,2010-10-26,2011-10-25,Male,36.0,2010-10-26,1,Saloon,,Honda,,,CarSafe,0
115,ID_0CW58L7,2010-03-26,2011-03-25,Female,56.0,2010-03-26,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0
116,ID_0D03EM0,2010-03-02,2011-03-01,Female,44.0,2010-03-02,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0
117,ID_0D2UBKM,2010-08-06,2011-08-05,Male,34.0,2010-08-06,1,Saloon,Red,TOYOTA,,,Car Classic,1
118,ID_0D57898,2010-08-20,2011-02-17,Male,55.0,2010-08-20,3,,,nan,Lekki,Lagos,Car Classic,0
119,ID_0DB63CB,2010-07-02,2011-07-01,Female,26.0,2010-07-02,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1
120,ID_0DGZCRK,2010-12-10,2011-12-09,,38.0,2010-12-10,1,Saloon,,Volkswagen,Victoria Island,Lagos,CarSafe,0
121,ID_0DLE3E9,2010-01-30,2011-01-29,Male,20.0,2010-01-30,1,Saloon,,Kia,,,CarSafe,0
122,ID_0DQURZJ,2010-11-12,2011-11-11,Male,49.0,2010-11-12,1,,,nan,,,CarSafe,0
123,ID_0E0GIOO,2010-07-24,2011-01-15,Female,38.0,2010-07-24,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0
124,ID_0E461H1,2010-05-16,2011-05-14,Male,42.0,2010-05-16,1,Saloon,Black,TOYOTA,,,Car Classic,0
125,ID_0E4K0GF,2010-08-07,2011-08-06,Male,31.0,2010-08-07,1,Saloon,,TOYOTA,,,CarSafe,0
126,ID_0EARV5X,2010-01-21,2011-01-20,Male,43.0,2010-01-21,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0
127,ID_0EHKMTL,2010-09-04,2011-09-03,Male,50.0,2010-09-04,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
128,ID_0EJ4LR3,2010-01-11,2011-01-10,Male,38.0,2010-01-11,1,,,Lexus,Surulere,Lagos,Car Classic,0
129,ID_0ELAKXI,2010-02-04,2011-02-03,Male,30.0,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1
130,ID_0EM6LSO,2010-03-26,2011-03-24,Female,65.0,2010-03-26,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
131,ID_0EMO48C,2010-02-15,2011-02-14,,50.0,2010-02-15,1,,White,Mitsubishi,Victoria Island,Lagos,CVTP,0
132,ID_0ENFSCX,2010-08-15,2011-08-14,Male,20.0,2010-08-15,1,,,TOYOTA,Ikeja,Lagos,Car Classic,0
133,ID_0EQQYES,2010-08-29,2011-08-28,Male,35.0,2010-08-29,2,,Silver,TOYOTA,,,Car Classic,1
134,ID_0ESEOON,2010-08-21,2011-08-06,Male,20.0,2010-08-21,1,,,Iveco,Abeokuta,Ogun,CVTP,0
135,ID_0ESTG4D,2010-08-09,2011-08-08,Joint Gender,35.0,2010-08-09,1,,,nan,,,CarSafe,0
136,ID_0EYU1TC,2010-03-16,2011-03-15,Male,36.0,2010-03-16,2,Saloon,Ash,TOYOTA,,,Car Classic,0
137,ID_0F0ZI7B,2010-10-21,2011-10-20,Male,70.0,2010-10-21,1,,,TOYOTA,Minna,Niger-State,Car Plus,0
138,ID_0F1JIXI,2010-06-03,2011-06-02,Female,60.0,2010-06-03,1,,Black,Lexus,IbadanCentral,Benue,Car Classic,1
139,ID_0F1PDB1,2010-05-31,2011-05-30,Male,38.0,2010-05-31,1,Saloon,Grey,TOYOTA,,,Car Classic,1
140,ID_0F3IJXA,2010-01-16,2011-01-15,Female,45.0,2010-01-16,1,,,TOYOTA,Shomolu,Benue,Car Classic,1
141,ID_0F5MJ5K,2010-12-19,2011-11-17,Male,37.0,2010-12-19,1,Saloon,Black,Honda,,,Car Classic,1
142,ID_0F6TNYQ,2010-05-21,2011-05-03,Male,30.0,2010-05-21,1,,,Scania,Benin,Edo,CVTP,0
143,ID_0F7BHGK,2010-02-04,2011-02-03,,18.0,2010-02-04,1,Saloon,,Hyundai,Victoria Island,Lagos,Customized Motor,1
144,ID_0F7DPHC,2010-12-12,2011-12-11,Female,35.0,2010-12-12,1,,,nan,,,CarSafe,0
145,ID_0FIFLYO,2010-06-28,2011-06-26,Female,27.0,2010-06-28,1,Saloon,,TOYOTA,,,Car Classic,0
146,ID_0FP7360,2010-12-09,2011-10-22,Male,46.0,2010-12-09,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0
147,ID_0FRE9RN,2010-10-24,2011-10-23,Male,30.0,2010-10-24,1,,,nan,,,CarSafe,0
148,ID_0FYEA7B,2010-07-02,2011-06-30,Female,32.0,2010-07-02,1,Saloon,,Lexus,,,CarSafe,0
149,ID_0G2PBAI,2010-11-14,2011-11-13,Female,38.0,2010-11-14,1,Saloon,,Hyundai,,,CarSafe,0
150,ID_0G53YNR,2010-05-07,2011-05-05,Male,47.0,2010-05-07,1,Saloon,,TOYOTA,,,Car Classic,0
151,ID_0G5JBV3,2010-12-24,2011-12-23,Female,52.0,2010-12-24,1,Saloon,,TOYOTA,,,CarSafe,0
152,ID_0G85YVU,2010-06-14,2011-06-13,Female,60.0,2010-06-14,1,Saloon,,TOYOTA,Lagos Island,Lagos,Car Classic,0
153,ID_0GHLS5X,2010-12-03,2011-12-02,Male,45.0,2010-12-03,2,,White,BMW,Eti-Osa,Eti-Osa,Customized Motor,0
154,ID_0GIIW66,2010-01-26,2011-01-25,Female,45.0,2010-01-26,1,Saloon,,TOYOTA,,,CarSafe,0
155,ID_0GJ23TT,2010-10-02,2011-09-30,Male,39.0,2010-10-02,1,,,nan,,,CarSafe,0
156,ID_0GNVQFF,2010-11-14,2011-04-14,Male,40.0,2010-11-14,2,Saloon,Wine,Pontiac,,,Car Classic,0
157,ID_0GO0K5A,2010-01-10,2011-01-09,Male,51.0,2010-01-10,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0
158,ID_0GR2QRL,2010-04-19,2011-04-18,Male,48.0,2010-04-19,1,,,Lexus,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
159,ID_0GVDM31,2010-01-11,2011-01-10,Male,58.0,2010-01-11,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0
160,ID_0GVEZFQ,2010-10-23,2011-10-22,Male,39.0,2010-10-23,2,,,Honda,Surulere,Lagos,Car Classic,0
161,ID_0GVFN13,2010-09-13,2011-09-12,Female,44.0,2010-09-13,1,,,nan,,,CarSafe,0
162,ID_0H49SVS,2010-02-25,2011-02-24,Male,43.0,2010-02-25,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1
163,ID_0HK4TFC,2010-06-11,2011-03-09,Female,36.0,2010-06-11,1,Saloon,,Mercedes,Lagos Island,Lagos,Car Classic,0
164,ID_0HO82AC,2010-07-04,2011-07-03,Male,53.0,2010-07-04,1,Saloon,,TOYOTA,,,CarSafe,0
165,ID_0HOD99L,2010-12-12,2011-12-11,Female,,2010-12-12,1,,,nan,,,CarSafe,0
166,ID_0HWAFTI,2010-08-14,2011-08-13,Male,40.0,2010-08-14,1,,,nan,,,CarSafe,0
167,ID_0I6NUTV,2010-02-11,2011-01-30,Male,44.0,2010-02-11,1,,Red & Blue,Iveco,Victoria Island,Lagos,CVTP,0
168,ID_0I7MKL8,2010-10-17,2011-10-16,Female,34.0,2010-10-17,1,,,nan,,,CarSafe,0
169,ID_0I7WSXN,2010-01-14,2011-01-13,Male,41.0,2010-01-14,1,Saloon,,TOYOTA,,,CarSafe,0
170,ID_0IFDCEJ,2010-12-07,2011-08-10,Female,42.0,2010-12-07,2,,,Mercedes,Victoria Island,Lagos,Car Classic,0
171,ID_0IGLH7L,2010-01-12,2011-01-11,Male,40.0,2010-01-12,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0
172,ID_0IKQ9XJ,2010-07-20,2011-07-19,Male,43.0,2010-07-20,2,,Blue,TOYOTA,Ketu,Lagos,Car Classic,1
173,ID_0ILENCN,2010-05-21,2011-05-20,Male,55.0,2010-05-21,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0
174,ID_0ILP3VL,2010-09-13,2011-09-12,Male,47.0,2010-09-13,4,Saloon,Black,Nissan,,,Car Classic,1
175,ID_0INKY4L,2010-12-20,2011-12-19,Male,,2010-12-20,1,,,nan,Victoria Island,Lagos,Car Classic,0
176,ID_0INLN8R,2010-06-07,2011-06-06,Male,37.0,2010-06-07,3,Saloon,,TOYOTA,,,CarSafe,0
177,ID_0IRFUYB,2010-06-06,2011-06-05,Female,37.0,2010-06-06,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0
178,ID_0J58IN3,2010-07-05,2010-12-31,,,2010-07-05,4,,,Mitsubishi,Victoria Island,Lagos,Muuve,0
179,ID_0J9QBCJ,2010-09-16,2010-12-31,,,2010-09-16,4,,,Lexus,Victoria Island,Lagos,Muuve,1
180,ID_0JHDAXS,2010-12-05,2011-12-04,Male,31.0,2010-12-05,1,,,nan,,,CarSafe,0
181,ID_0JPMW2P,2010-12-23,2011-04-21,Male,38.0,2010-12-23,1,,,nan,,,Car Classic,0
182,ID_0JXGM6N,2010-11-22,2011-11-21,Male,40.0,2010-11-22,1,,,nan,,,CarSafe,0
183,ID_0K1BO9A,2010-09-20,2011-09-19,Male,62.0,2010-09-20,1,Saloon,,TOYOTA,Sapele,Delta,CarSafe,0
184,ID_0K1VPIE,2010-03-04,2011-03-03,Male,41.0,2010-03-04,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0
185,ID_0K7QW76,2010-04-04,2011-04-02,Male,32.0,2010-04-04,1,Saloon,,Honda,,,Car Classic,0
186,ID_0KCF3AO,2010-04-30,2011-04-29,Male,49.0,2010-04-30,1,JEEP,,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
187,ID_0KDYXJL,2010-06-28,2011-06-27,Female,44.0,2010-06-28,1,Saloon,,TOYOTA,,,CarSafe,0
188,ID_0KED35N,2010-09-12,2011-09-11,Female,25.0,2010-09-12,1,,,nan,,,Car Classic,0
189,ID_0KG1GAY,2010-10-29,2011-10-28,Male,31.0,2010-10-29,1,,,nan,,,Car Classic,1
190,ID_0KN7C3J,2010-03-05,2011-03-04,Male,61.0,2010-03-05,1,Saloon,,Infiniti,,,CarSafe,0
191,ID_0KVEKCF,2010-09-09,2011-09-08,Female,34.0,2010-09-09,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0
192,ID_0KX531O,2010-11-30,2011-11-29,Female,40.0,2010-11-30,1,Saloon,Black,TOYOTA,,,Car Classic,0
193,ID_0KZ4T8I,2010-09-24,2011-09-23,Male,28.0,2010-09-24,1,,,nan,,,CarSafe,0
194,ID_0L2GHKC,2010-08-01,2011-07-31,Male,50.0,2010-08-01,1,Saloon,,TOYOTA,,,CarSafe,0
195,ID_0L4IT7F,2010-06-20,2011-06-19,Male,62.0,2010-06-20,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0
196,ID_0L92127,2010-03-14,2011-03-13,Female,43.0,2010-03-14,1,JEEP,Silver,TOYOTA,,,Car Plus,0
197,ID_0L9531Y,2010-10-07,2011-10-06,Male,51.0,2010-10-07,1,Saloon,,BMW,Benin,Edo,Car Classic,0
198,ID_0LQA24Z,2010-11-29,2011-11-28,Male,53.0,2010-11-29,1,JEEP,,Ford,,,CarSafe,0
199,ID_0LQJSMC,2010-12-13,2011-12-12,Male,33.0,2010-12-13,1,Saloon,Gold,Lexus,,,Car Classic,0
200,ID_0LX75FI,2010-08-09,2011-08-08,Female,50.0,2010-08-09,1,Saloon,Grey,TOYOTA,,,Car Classic,0
201,ID_0M2HTZ9,2010-04-04,2011-04-03,Male,37.0,2010-04-04,1,Saloon,,Lexus,ENUGU EAST,ENUGU-EAST,Car Classic,1
202,ID_0M4JBB4,2010-09-13,2011-09-12,Female,41.0,2010-09-13,1,Saloon,Red,Renault,,,Car Classic,0
