,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Make,ProductName,target
66,ID_06BSIZB,2010-01-17,2011-01-16,Male,30.0,2010-01-17,1,Saloon,Nissan,CarSafe,0
67,ID_06CA2IY,2010-05-13,2011-04-10,Female,60.0,2010-05-13,1,Saloon,TOYOTA,Car Classic,1
68,ID_06HCAU1,2010-06-19,2011-04-14,Male,37.0,2010-06-19,1,Truck,DAF,CVTP,0
69,ID_06MWQX4,2010-07-11,2011-07-10,Female,37.0,2010-07-11,1,Saloon,TOYOTA,CarSafe,0
70,ID_06TZLPR,2010-11-06,2011-08-06,Male,52.0,2010-11-06,3,Saloon,TOYOTA,Car Classic,0
71,ID_06WKCVO,2010-04-28,2011-04-27,Male,54.0,2010-04-28,1,JEEP,Honda,Car Plus,0
75,ID_0785NAL,2010-05-17,2011-05-15,Male,44.0,2010-05-17,1,Saloon,Hyundai,CarSafe,0
79,ID_07LQ83J,2010-10-23,2011-10-22,Male,78.0,2010-10-23,2,Saloon,TOYOTA,Car Classic,0
80,ID_07Q2HUE,2010-03-25,2011-03-24,Male,20.0,2010-03-25,1,Saloon,TOYOTA,CarSafe,0
82,ID_08833XP,2010-05-23,2011-05-22,Female,42.0,2010-05-23,1,JEEP,Honda,Car Classic,0
83,ID_088DOQ3,2010-01-07,2011-01-06,Female,50.0,2010-01-07,2,Saloon,TOYOTA,Car Classic,1
84,ID_08EMHRD,2010-07-23,2011-07-22,Female,37.0,2010-07-23,1,Saloon,TOYOTA,Car Classic,0
85,ID_08QV44L,2010-07-24,2011-06-13,Female,34.0,2010-07-24,1,Bus,TOYOTA,Car Classic,0
87,ID_094BCZS,2010-09-17,2011-09-16,Male,44.0,2010-09-17,1,Saloon,Mercedes,Car Classic,0
89,ID_09BCKQW,2010-07-24,2011-07-23,Male,39.0,2010-07-24,2,Saloon,TOYOTA,Car Classic,0
91,ID_09ECI55,2010-02-01,2011-01-31,Female,32.0,2010-02-01,1,Saloon,TOYOTA,Car Classic,0
93,ID_09M1LIC,2010-02-11,2011-02-10,Male,38.0,2010-02-11,1,Saloon,TOYOTA,Car Classic,0
95,ID_09N5ZQL,2010-04-04,2011-04-03,Male,53.0,2010-04-04,2,Saloon,Honda,Car Classic,0
96,ID_09OYXKX,2010-02-12,2011-02-11,Female,65.0,2010-02-12,1,Saloon,Mercedes,CarSafe,0
97,ID_09TVK15,2010-01-12,2011-01-11,Female,32.0,2010-01-12,1,Saloon,TOYOTA,Car Classic,0
100,ID_0AJ12UF,2010-03-27,2011-03-26,Male,48.0,2010-03-27,1,JEEP,TOYOTA,Customized Motor,0
101,ID_0AP9C8K,2010-10-23,2011-05-27,Female,37.0,2010-10-23,2,Saloon,TOYOTA,Car Classic,0
103,ID_0B5W1GU,2010-02-08,2011-02-07,Female,50.0,2010-02-08,1,Saloon,TOYOTA,CarSafe,0
105,ID_0BBIOBG,2010-05-17,2011-05-16,Female,44.0,2010-05-17,1,Saloon,TOYOTA,CarSafe,0
106,ID_0BN4W5V,2010-07-01,2010-12-31,Male,35.0,2010-07-01,2,JEEP,Lexus,Car Classic,0
108,ID_0BUJCEP,2010-12-16,2011-12-15,Female,73.0,2010-12-16,2,JEEP,TOYOTA,Customized Motor,0
109,ID_0BXLGTA,2010-12-27,2011-12-26,Male,34.0,2010-12-27,1,JEEP,Lexus,Car Classic,0
111,ID_0C6NVMA,2010-02-25,2011-02-24,Female,56.0,2010-02-25,1,JEEP,Hyundai,CarSafe,0
114,ID_0CM4BI3,2010-10-26,2011-10-25,Male,36.0,2010-10-26,1,Saloon,Honda,CarSafe,0
115,ID_0CW58L7,2010-03-26,2011-03-25,Female,56.0,2010-03-26,1,JEEP,Nissan,Car Classic,0
116,ID_0D03EM0,2010-03-02,2011-03-01,Female,44.0,2010-03-02,1,Saloon,TOYOTA,Car Classic,0
117,ID_0D2UBKM,2010-08-06,2011-08-05,Male,34.0,2010-08-06,1,Saloon,TOYOTA,Car Classic,1
119,ID_0DB63CB,2010-07-02,2011-07-01,Female,26.0,2010-07-02,1,JEEP,Honda,Car Classic,1
121,ID_0DLE3E9,2010-01-30,2011-01-29,Male,20.0,2010-01-30,1,Saloon,Kia,CarSafe,0
123,ID_0E0GIOO,2010-07-24,2011-01-15,Female,38.0,2010-07-24,1,JEEP,TOYOTA,Car Classic,0
124,ID_0E461H1,2010-05-16,2011-05-14,Male,42.0,2010-05-16,1,Saloon,TOYOTA,Car Classic,0
125,ID_0E4K0GF,2010-08-07,2011-08-06,Male,31.0,2010-08-07,1,Saloon,TOYOTA,CarSafe,0
126,ID_0EARV5X,2010-01-21,2011-01-20,Male,43.0,2010-01-21,1,Saloon,Honda,Car Classic,0
127,ID_0EHKMTL,2010-09-04,2011-09-03,Male,50.0,2010-09-04,2,JEEP,TOYOTA,Car Classic,0
129,ID_0ELAKXI,2010-02-04,2011-02-03,Male,30.0,2010-02-04,2,Saloon,Honda,Car Classic,1
130,ID_0EM6LSO,2010-03-26,2011-03-24,Female,65.0,2010-03-26,1,JEEP,TOYOTA,Car Classic,0
136,ID_0EYU1TC,2010-03-16,2011-03-15,Male,36.0,2010-03-16,2,Saloon,TOYOTA,Car Classic,0
139,ID_0F1PDB1,2010-05-31,2011-05-30,Male,38.0,2010-05-31,1,Saloon,TOYOTA,Car Classic,1
141,ID_0F5MJ5K,2010-12-19,2011-11-17,Male,37.0,2010-12-19,1,Saloon,Honda,Car Classic,1
145,ID_0FIFLYO,2010-06-28,2011-06-26,Female,27.0,2010-06-28,1,Saloon,TOYOTA,Car Classic,0
146,ID_0FP7360,2010-12-09,2011-10-22,Male,46.0,2010-12-09,1,JEEP,TOYOTA,Car Classic,0
148,ID_0FYEA7B,2010-07-02,2011-06-30,Female,32.0,2010-07-02,1,Saloon,Lexus,CarSafe,0
149,ID_0G2PBAI,2010-11-14,2011-11-13,Female,38.0,2010-11-14,1,Saloon,Hyundai,CarSafe,0
150,ID_0G53YNR,2010-05-07,2011-05-05,Male,47.0,2010-05-07,1,Saloon,TOYOTA,Car Classic,0
151,ID_0G5JBV3,2010-12-24,2011-12-23,Female,52.0,2010-12-24,1,Saloon,TOYOTA,CarSafe,0
152,ID_0G85YVU,2010-06-14,2011-06-13,Female,60.0,2010-06-14,1,Saloon,TOYOTA,Car Classic,0
154,ID_0GIIW66,2010-01-26,2011-01-25,Female,45.0,2010-01-26,1,Saloon,TOYOTA,CarSafe,0
156,ID_0GNVQFF,2010-11-14,2011-04-14,Male,40.0,2010-11-14,2,Saloon,Pontiac,Car Classic,0
157,ID_0GO0K5A,2010-01-10,2011-01-09,Male,51.0,2010-01-10,1,Saloon,Hyundai,Car Classic,0
159,ID_0GVDM31,2010-01-11,2011-01-10,Male,58.0,2010-01-11,3,Saloon,TOYOTA,Car Classic,0
162,ID_0H49SVS,2010-02-25,2011-02-24,Male,43.0,2010-02-25,1,Saloon,TOYOTA,Car Classic,1
163,ID_0HK4TFC,2010-06-11,2011-03-09,Female,36.0,2010-06-11,1,Saloon,Mercedes,Car Classic,0
164,ID_0HO82AC,2010-07-04,2011-07-03,Male,53.0,2010-07-04,1,Saloon,TOYOTA,CarSafe,0
169,ID_0I7WSXN,2010-01-14,2011-01-13,Male,41.0,2010-01-14,1,Saloon,TOYOTA,CarSafe,0
171,ID_0IGLH7L,2010-01-12,2011-01-11,Male,40.0,2010-01-12,1,Saloon,TOYOTA,Car Classic,0
173,ID_0ILENCN,2010-05-21,2011-05-20,Male,55.0,2010-05-21,3,JEEP,TOYOTA,Customized Motor,0
174,ID_0ILP3VL,2010-09-13,2011-09-12,Male,47.0,2010-09-13,4,Saloon,Nissan,Car Classic,1
176,ID_0INLN8R,2010-06-07,2011-06-06,Male,37.0,2010-06-07,3,Saloon,TOYOTA,CarSafe,0
177,ID_0IRFUYB,2010-06-06,2011-06-05,Female,37.0,2010-06-06,1,JEEP,TOYOTA,Car Classic,0
183,ID_0K1BO9A,2010-09-20,2011-09-19,Male,62.0,2010-09-20,1,Saloon,TOYOTA,CarSafe,0
184,ID_0K1VPIE,2010-03-04,2011-03-03,Male,41.0,2010-03-04,1,Saloon,TOYOTA,Car Classic,0
185,ID_0K7QW76,2010-04-04,2011-04-02,Male,32.0,2010-04-04,1,Saloon,Honda,Car Classic,0
186,ID_0KCF3AO,2010-04-30,2011-04-29,Male,49.0,2010-04-30,1,JEEP,TOYOTA,Car Classic,0
187,ID_0KDYXJL,2010-06-28,2011-06-27,Female,44.0,2010-06-28,1,Saloon,TOYOTA,CarSafe,0
190,ID_0KN7C3J,2010-03-05,2011-03-04,Male,61.0,2010-03-05,1,Saloon,Infiniti,CarSafe,0
191,ID_0KVEKCF,2010-09-09,2011-09-08,Female,34.0,2010-09-09,1,Saloon,TOYOTA,Car Classic,0
192,ID_0KX531O,2010-11-30,2011-11-29,Female,40.0,2010-11-30,1,Saloon,TOYOTA,Car Classic,0
194,ID_0L2GHKC,2010-08-01,2011-07-31,Male,50.0,2010-08-01,1,Saloon,TOYOTA,CarSafe,0
195,ID_0L4IT7F,2010-06-20,2011-06-19,Male,62.0,2010-06-20,2,JEEP,Honda,Car Classic,0
196,ID_0L92127,2010-03-14,2011-03-13,Female,43.0,2010-03-14,1,JEEP,TOYOTA,Car Plus,0
197,ID_0L9531Y,2010-10-07,2011-10-06,Male,51.0,2010-10-07,1,Saloon,BMW,Car Classic,0
198,ID_0LQA24Z,2010-11-29,2011-11-28,Male,53.0,2010-11-29,1,JEEP,Ford,CarSafe,0
199,ID_0LQJSMC,2010-12-13,2011-12-12,Male,33.0,2010-12-13,1,Saloon,Lexus,Car Classic,0
200,ID_0LX75FI,2010-08-09,2011-08-08,Female,50.0,2010-08-09,1,Saloon,TOYOTA,Car Classic,0
201,ID_0M2HTZ9,2010-04-04,2011-04-03,Male,37.0,2010-04-04,1,Saloon,Lexus,Car Classic,1
202,ID_0M4JBB4,2010-09-13,2011-09-12,Female,41.0,2010-09-13,1,Saloon,Renault,Car Classic,0
204,ID_0MG4G6P,2010-01-08,2011-01-07,Male,37.0,2010-01-08,1,Saloon,Hyundai,Car Classic,1
205,ID_0MH3UFI,2010-08-06,2011-08-05,Male,36.0,2010-08-06,1,Saloon,TOYOTA,Car Classic,0
206,ID_0MHS52N,2010-05-23,2011-05-21,Male,51.0,2010-05-23,1,JEEP,Ford,CarSafe,0
207,ID_0MJ9TSG,2010-03-14,2011-03-13,Male,40.0,2010-03-14,1,Saloon,Honda,CarSafe,0
208,ID_0MJUX0Q,2010-04-30,2011-04-29,Male,40.0,2010-04-30,1,Saloon,Honda,CarSafe,0
211,ID_0MRR0OX,2010-04-12,2011-04-11,Male,45.0,2010-04-12,1,Saloon,Honda,CarSafe,0
212,ID_0MSQ5JJ,2010-12-13,2011-12-12,Male,33.0,2010-12-13,1,Saloon,Honda,CarSafe,0
214,ID_0N2X552,2010-04-15,2011-01-03,Female,33.0,2010-04-15,1,Saloon,Honda,Car Classic,0
216,ID_0NGIBX4,2010-05-16,2011-05-15,Male,42.0,2010-05-16,1,Saloon,TOYOTA,CarSafe,0
217,ID_0NIL8EF,2010-02-08,2011-02-07,Male,42.0,2010-02-08,1,Saloon,TOYOTA,CarSafe,0
218,ID_0NJ07AU,2010-11-07,2011-11-06,Male,49.0,2010-11-07,2,Saloon,Hyundai,CarSafe,0
219,ID_0NXMWEE,2010-02-21,2011-02-20,Male,30.0,2010-02-21,1,Saloon,TOYOTA,Car Classic,1
220,ID_0O545WK,2010-01-02,2011-01-01,Female,82.0,2010-01-02,1,Saloon,Hyundai,CarSafe,0
221,ID_0OBXCP6,2010-03-28,2011-03-27,Male,57.0,2010-03-28,1,JEEP,Hyundai,CarSafe,0
222,ID_0OH05TQ,2010-03-20,2011-03-19,Male,39.0,2010-03-20,1,JEEP,TOYOTA,Car Classic,0
225,ID_0PKTK51,2010-06-29,2011-06-28,Male,69.0,2010-06-29,1,Saloon,TOYOTA,CarSafe,0
226,ID_0PL8HXU,2010-12-24,2011-03-25,Male,41.0,2010-12-24,1,JEEP,TOYOTA,Car Classic,0
229,ID_0PV6CEI,2010-01-29,2011-01-28,Female,61.0,2010-01-29,1,JEEP,Ford,Car Classic,1
232,ID_0QEKD0C,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,TOYOTA,Car Classic,0
234,ID_0QMIC3O,2010-03-21,2011-03-20,Male,63.0,2010-03-21,1,Saloon,TOYOTA,CarSafe,0
236,ID_0QW3W1U,2010-12-13,2011-12-12,Male,49.0,2010-12-13,1,Saloon,TOYOTA,Car Classic,0
237,ID_0R1RIW0,2010-06-18,2011-06-13,Male,52.0,2010-06-18,1,Saloon,TOYOTA,Car Classic,0
238,ID_0R8HDFR,2010-02-22,2011-02-21,Male,45.0,2010-02-22,2,Saloon,TOYOTA,Car Classic,0
241,ID_0RD9CCE,2010-11-21,2011-11-20,Male,39.0,2010-11-21,1,Saloon,TOYOTA,CarSafe,0
244,ID_0RP78NL,2010-05-13,2011-04-10,Female,60.0,2010-05-13,1,Saloon,TOYOTA,Car Classic,0
247,ID_0S4XOMP,2010-11-25,2011-11-24,Male,46.0,2010-11-25,1,JEEP,TOYOTA,Car Classic,0
248,ID_0SAC9AZ,2010-12-12,2011-12-01,Male,39.0,2010-12-12,1,Saloon,TOYOTA,Car Classic,0
249,ID_0SG1R6L,2010-02-15,2011-02-14,Male,40.0,2010-02-15,1,Saloon,Honda,CarSafe,0
250,ID_0SGM7DM,2010-07-05,2011-07-04,Male,40.0,2010-07-05,1,Saloon,Honda,CarSafe,0
254,ID_0SR1AZV,2010-01-18,2011-01-17,Male,40.0,2010-01-18,1,Saloon,Ford,CarSafe,0
255,ID_0SSFMYL,2010-07-24,2011-07-23,Male,61.0,2010-07-24,1,Bus,TOYOTA,Car Classic,1
256,ID_0STS32D,2010-10-29,2011-10-28,Male,67.0,2010-10-29,1,JEEP,Kia,Car Classic,0
257,ID_0T0PQNR,2010-12-05,2011-12-04,Female,40.0,2010-12-05,4,Saloon,Honda,Customized Motor,0
258,ID_0T7ERJ9,2010-04-02,2011-04-01,Female,36.0,2010-04-02,2,Saloon,Honda,CarSafe,0
259,ID_0TB0K22,2010-11-06,2011-06-26,Male,36.0,2010-11-06,1,Saloon,TOYOTA,Car Classic,1
260,ID_0TCB8GJ,2010-10-11,2011-10-10,Female,41.0,2010-10-11,1,Saloon,TOYOTA,Car Classic,0
261,ID_0TII4PQ,2010-12-30,2011-03-29,Male,30.0,2010-12-30,1,Saloon,Kia,Car Classic,0
263,ID_0TUBHL1,2010-01-17,2011-01-16,Male,52.0,2010-01-17,1,Saloon,TOYOTA,CarSafe,0
266,ID_0U2TXZ7,2010-01-03,2011-01-02,Male,30.0,2010-01-03,1,Saloon,Lexus,Car Plus,1
268,ID_0U4LNUQ,2010-10-30,2011-10-29,Male,49.0,2010-10-30,1,Saloon,TOYOTA,Car Classic,0
269,ID_0U6YWUD,2010-05-28,2011-05-27,Male,61.0,2010-05-28,2,Saloon,Kia,Car Classic,0
274,ID_0UM7DYC,2010-06-28,2011-03-26,Male,52.0,2010-06-28,1,JEEP,Lexus,Car Classic,0
275,ID_0UM86EF,2010-06-26,2011-06-24,Female,64.0,2010-06-26,3,JEEP,TOYOTA,Car Plus,0
277,ID_0UNI23V,2010-10-10,2011-08-09,Male,40.0,2010-10-10,1,Saloon,Honda,Car Classic,0
279,ID_0UVUQ0H,2010-05-23,2011-05-22,Male,49.0,2010-05-23,3,JEEP,Lexus,Car Classic,0
280,ID_0UY25Z6,2010-05-16,2011-05-15,Female,34.0,2010-05-16,1,Saloon,TOYOTA,CarSafe,0
281,ID_0V08GID,2010-11-08,2011-02-06,Male,32.0,2010-11-08,4,Saloon,TOYOTA,Car Classic,1
282,ID_0V42RVF,2010-05-28,2011-05-27,Female,39.0,2010-05-28,1,Bus,TOYOTA,Car Classic,1
284,ID_0VFMRPN,2010-01-29,2011-01-28,Male,32.0,2010-01-29,1,Saloon,Mercedes,Car Classic,1
286,ID_0VI206Q,2010-01-25,2011-01-24,Male,29.0,2010-01-25,2,Saloon,Hyundai,CarSafe,0
287,ID_0VLC38E,2010-01-14,2011-01-13,Male,40.0,2010-01-14,1,Saloon,Mercedes,Car Classic,0
289,ID_0VWCD6Q,2010-05-07,2011-05-06,Male,50.0,2010-05-07,1,Saloon,Ford,CarSafe,0
290,ID_0W3PCWB,2010-11-02,2011-11-01,Female,44.0,2010-11-02,1,JEEP,TOYOTA,Car Classic,0
291,ID_0W87WW9,2010-02-11,2011-02-10,Male,35.0,2010-02-11,1,Saloon,TOYOTA,Car Classic,1
293,ID_0WS77PQ,2010-03-06,2011-03-05,Male,49.0,2010-03-06,1,Saloon,TOYOTA,CarSafe,0
294,ID_0WXKWJL,2010-05-17,2011-05-16,Male,46.0,2010-05-17,1,Saloon,TOYOTA,Car Classic,0
296,ID_0X7JTGO,2010-11-04,2011-03-15,Male,46.0,2010-11-04,4,Saloon,Mercedes,Customized Motor,0
297,ID_0X9FT1B,2010-08-02,2011-01-23,Female,41.0,2010-08-02,1,Saloon,TOYOTA,Car Classic,0
301,ID_0Y7FRB6,2010-05-22,2011-05-21,Female,34.0,2010-05-22,1,JEEP,Mercedes,Customized Motor,0
302,ID_0Y7RLXD,2010-11-05,2011-11-04,Male,35.0,2010-11-05,1,JEEP,TOYOTA,CarSafe,0
303,ID_0Y8AKVQ,2010-05-04,2011-05-03,Female,45.0,2010-05-04,1,JEEP,Lexus,Car Classic,1
305,ID_0YVNPAI,2010-01-01,2010-12-31,Joint Gender,44.0,2010-01-01,1,Saloon,Honda,Car Classic,0
306,ID_0Z2H7L4,2010-08-08,2011-03-16,Male,45.0,2010-08-08,4,JEEP,TOYOTA,Car Classic,0
307,ID_0Z8HNUO,2010-01-06,2011-01-05,Female,52.0,2010-01-06,1,Saloon,TOYOTA,Car Classic,0
308,ID_0ZD8TH2,2010-04-25,2011-04-24,Male,36.0,2010-04-25,2,Saloon,BMW,Car Plus,0
312,ID_106UX68,2010-05-25,2011-05-24,Male,38.0,2010-05-25,1,Saloon,Honda,CarSafe,0
313,ID_10AR7HG,2010-03-30,2011-03-29,Male,39.0,2010-03-30,1,Saloon,TOYOTA,CarSafe,0
314,ID_10DLB7Z,2010-02-20,2011-02-19,Male,36.0,2010-02-20,1,JEEP,Mercedes,CarSafe,0
316,ID_10KNNZ0,2010-05-02,2011-05-01,Male,49.0,2010-05-02,1,Saloon,Volvo,CarSafe,0
317,ID_10SVT4O,2010-03-04,2011-03-03,Female,65.0,2010-03-04,1,Saloon,TOYOTA,CarSafe,0
318,ID_10US53F,2010-12-17,2011-12-16,Male,44.0,2010-12-17,1,Saloon,TOYOTA,CarSafe,0
319,ID_10Z394U,2010-07-03,2011-03-02,Female,36.0,2010-07-03,1,JEEP,ACURA,Car Classic,0
320,ID_110V61M,2010-07-05,2011-07-02,Female,40.0,2010-07-05,1,JEEP,ACURA,Car Classic,0
321,ID_1143H6E,2010-03-22,2011-03-21,Female,35.0,2010-03-22,1,JEEP,TOYOTA,Car Classic,0
322,ID_118RLBY,2010-03-29,2011-03-27,Male,35.0,2010-03-29,1,Saloon,TOYOTA,Car Classic,0
323,ID_11AXZ03,2010-05-21,2011-05-20,Female,33.0,2010-05-21,1,Saloon,TOYOTA,Car Classic,0
324,ID_11DOH5Z,2010-04-26,2011-04-25,Male,51.0,2010-04-26,1,Saloon,Honda,CarSafe,0
325,ID_11QQZG9,2010-06-11,2011-06-10,Male,28.0,2010-06-11,1,Saloon,TOYOTA,Car Classic,1
326,ID_11VGQ53,2010-07-19,2011-01-16,Male,27.0,2010-07-19,1,Saloon,Honda,Car Classic,0
328,ID_11Z226Z,2010-04-30,2011-02-10,Female,30.0,2010-04-30,1,Saloon,TOYOTA,Car Plus,0
329,ID_120TRM5,2010-10-01,2011-09-29,Male,44.0,2010-10-01,1,JEEP,Hyundai,CarSafe,0
330,ID_1258IEU,2010-07-25,2011-07-24,Female,40.0,2010-07-25,1,Saloon,TOYOTA,CarSafe,0
332,ID_12Q01NN,2010-05-06,2011-05-05,Male,58.0,2010-05-06,1,Saloon,Honda,CarSafe,0
333,ID_134PY77,2010-10-18,2011-10-17,Female,34.0,2010-10-18,1,Saloon,TOYOTA,Car Classic,1
339,ID_13UJQCN,2010-01-06,2011-01-05,Male,36.0,2010-01-06,1,Saloon,Kia,CarSafe,0
340,ID_13Y6P9H,2010-06-06,2011-06-04,Male,25.0,2010-06-06,1,Saloon,Lexus,Car Classic,1
342,ID_148ZEIV,2010-07-02,2011-07-01,Male,37.0,2010-07-02,1,Saloon,Mercedes,CarSafe,0
343,ID_14CT2J3,2010-09-27,2011-06-13,Male,40.0,2010-09-27,1,Saloon,TOYOTA,Car Classic,1
345,ID_14GYPBQ,2010-03-23,2011-03-22,Female,52.0,2010-03-23,3,JEEP,TOYOTA,Car Classic,0
349,ID_14TM3RU,2010-10-10,2011-10-09,Female,45.0,2010-10-10,1,Saloon,Kia,Car Classic,0
350,ID_14X284U,2010-01-18,2011-01-17,Female,42.0,2010-01-18,1,Saloon,TOYOTA,Car Classic,0
351,ID_150XAUY,2010-08-05,2011-08-04,Male,43.0,2010-08-05,2,JEEP,Mitsubishi,Car Classic,0
352,ID_15715AW,2010-10-22,2011-10-21,Male,62.0,2010-10-22,1,JEEP,Lexus,Car Classic,0
353,ID_159QGM7,2010-04-26,2011-01-01,Male,48.0,2010-04-26,1,JEEP,Range Rover,Customized Motor,0
354,ID_15DJ74K,2010-04-02,2011-04-01,Male,38.0,2010-04-02,1,Saloon,Hyundai,Car Classic,0
357,ID_15MQYR5,2010-01-31,2011-01-30,Female,36.0,2010-01-31,1,Saloon,TOYOTA,Car Classic,1
358,ID_15OH215,2010-03-21,2011-03-20,Male,36.0,2010-03-21,1,Saloon,Honda,Car Classic,0
362,ID_16IHA5N,2010-07-12,2011-07-10,Female,46.0,2010-07-12,1,JEEP,Mitsubishi,CarSafe,0
363,ID_16S4IOQ,2010-04-24,2011-02-18,Male,20.0,2010-04-24,2,JEEP,Ford,Car Classic,0
365,ID_16X0NWN,2010-12-05,2010-12-31,Female,48.0,2010-12-05,2,JEEP,Range Rover,Customized Motor,0
367,ID_16ZT9EE,2010-05-17,2011-05-16,Male,40.0,2010-05-17,1,Saloon,TOYOTA,CarSafe,0
368,ID_171V8DQ,2010-03-29,2011-03-28,Male,30.0,2010-03-29,1,Saloon,Hyundai,CarSafe,0
369,ID_178C4R5,2010-07-17,2011-07-16,Female,52.0,2010-07-17,1,Saloon,TOYOTA,Car Classic,1
370,ID_17DG12Q,2010-04-24,2011-04-23,Male,60.0,2010-04-24,1,Saloon,TOYOTA,CarSafe,0
372,ID_17L2UEL,2010-05-25,2011-05-23,Male,41.0,2010-05-25,1,JEEP,TOYOTA,CarSafe,0
373,ID_17L53L6,2010-05-08,2011-05-07,Male,32.0,2010-05-08,1,Truck,Mack,CVTP,0
375,ID_17Z0VAK,2010-04-26,2011-04-25,Male,40.0,2010-04-26,1,JEEP,TOYOTA,Car Classic,0
377,ID_187AKRK,2010-10-28,2011-10-27,Joint Gender,33.0,2010-10-28,1,JEEP,TOYOTA,Car Classic,0
