,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Mirage
232,ID_0QEKD0C,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Black,TOYOTA,Lekki,Lagos,Car Classic,0,1
236,ID_0QW3W1U,2010-12-13,2011-12-12,Male,49.0,2010-12-13,1,Saloon,Black,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,0,1
237,ID_0R1RIW0,2010-06-18,2011-06-13,Male,52.0,2010-06-18,1,Saloon,Blue,TOYOTA,ISHERI,Benue,Car Classic,0,0
238,ID_0R8HDFR,2010-02-22,2011-02-21,Male,45.0,2010-02-22,2,Saloon,Green,TOYOTA,Festac,Benue,Car Classic,0,0
256,ID_0STS32D,2010-10-29,2011-10-28,Male,67.0,2010-10-29,1,JEEP,Red,Kia,Zaria ,Kaduna,Car Classic,0,0
257,ID_0T0PQNR,2010-12-05,2011-12-04,Female,40.0,2010-12-05,4,Saloon,Black,Honda,Victoria Island,Lagos,Customized Motor,0,1
260,ID_0TCB8GJ,2010-10-11,2011-10-10,Female,41.0,2010-10-11,1,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
274,ID_0UM7DYC,2010-06-28,2011-03-26,Male,52.0,2010-06-28,1,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0,1
275,ID_0UM86EF,2010-06-26,2011-06-24,Female,64.0,2010-06-26,3,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Plus,0,1
279,ID_0UVUQ0H,2010-05-23,2011-05-22,Male,49.0,2010-05-23,3,JEEP,Black,Lexus,Lekki,Lagos,Car Classic,0,1
290,ID_0W3PCWB,2010-11-02,2011-11-01,Female,44.0,2010-11-02,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
291,ID_0W87WW9,2010-02-11,2011-02-10,Male,35.0,2010-02-11,1,Saloon,Silver,TOYOTA,Abeokuta,Ogun,Car Classic,1,0
296,ID_0X7JTGO,2010-11-04,2011-03-15,Male,46.0,2010-11-04,4,Saloon,Black,Mercedes,Victoria Island,Lagos,Customized Motor,0,1
321,ID_1143H6E,2010-03-22,2011-03-21,Female,35.0,2010-03-22,1,JEEP,Black,TOYOTA,Shomolu,Benue,Car Classic,0,1
325,ID_11QQZG9,2010-06-11,2011-06-10,Male,28.0,2010-06-11,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,1,0
328,ID_11Z226Z,2010-04-30,2011-02-10,Female,30.0,2010-04-30,1,Saloon,Gold,TOYOTA,Ikeja,Lagos,Car Plus,0,0
333,ID_134PY77,2010-10-18,2011-10-17,Female,34.0,2010-10-18,1,Saloon,Black,TOYOTA,Ido,Benue,Car Classic,1,1
343,ID_14CT2J3,2010-09-27,2011-06-13,Male,40.0,2010-09-27,1,Saloon,Green,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,1,0
350,ID_14X284U,2010-01-18,2011-01-17,Female,42.0,2010-01-18,1,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0,0
351,ID_150XAUY,2010-08-05,2011-08-04,Male,43.0,2010-08-05,2,JEEP,Black,Mitsubishi,Ikeja,Lagos,Car Classic,0,1
354,ID_15DJ74K,2010-04-02,2011-04-01,Male,38.0,2010-04-02,1,Saloon,Gold,Hyundai,Lagos Mainland,Lagos,Car Classic,0,0
358,ID_15OH215,2010-03-21,2011-03-20,Male,36.0,2010-03-21,1,Saloon,Black,Honda,ENUGU EAST,ENUGU-EAST,Car Classic,0,1
363,ID_16S4IOQ,2010-04-24,2011-02-18,Male,20.0,2010-04-24,2,JEEP,Black,Ford,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
373,ID_17L53L6,2010-05-08,2011-05-07,Male,32.0,2010-05-08,1,Truck,Blue,Mack,Victoria Island,Lagos,CVTP,0,0
377,ID_187AKRK,2010-10-28,2011-10-27,Joint Gender,33.0,2010-10-28,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
379,ID_18GY66Q,2010-05-14,2011-05-13,Female,44.0,2010-05-14,1,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0,0
382,ID_18YZ6U0,2010-11-15,2011-11-14,Male,36.0,2010-11-15,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0,0
387,ID_19PV13X,2010-12-27,2011-12-26,Female,42.0,2010-12-27,1,JEEP,Black,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,1
390,ID_1AEALON,2010-04-01,2011-03-31,Male,40.0,2010-04-01,1,Saloon,Black,TOYOTA,Lagos Island,Lagos,Car Classic,0,1
391,ID_1AGD0F5,2010-01-09,2011-01-08,Male,44.0,2010-01-09,1,JEEP,Black,Mitsubishi,Lekki,Lagos,Car Classic,1,1
396,ID_1B6Z6XM,2010-12-06,2011-12-05,Male,37.0,2010-12-06,1,Saloon,Green,TOYOTA,Ajah,Lagos,Car Classic,1,0
400,ID_1BHWDTY,2010-04-09,2011-04-08,Female,40.0,2010-04-09,1,JEEP,White,TOYOTA,GBAGADA,Benue,Car Classic,0,1
401,ID_1BJ5TY2,2010-11-14,2011-11-13,Male,36.0,2010-11-14,1,Saloon,Grey,Honda,Ketu,Lagos,Car Classic,1,1
403,ID_1BSUBQE,2010-01-11,2011-01-10,Male,43.0,2010-01-11,3,Saloon,Green,Ford,Ondo West,Ondo-West,Car Classic,0,0
404,ID_1BTE1WF,2010-04-12,2011-04-11,Male,40.0,2010-04-12,2,JEEP,Black,Honda,Lagos Island,Lagos,Car Classic,0,1
407,ID_1C6719S,2010-04-29,2011-04-28,Male,54.0,2010-04-29,2,Bus,Blue,TOYOTA,Victoria Island,Lagos,Customized Motor,1,0
413,ID_1CMZQIT,2010-02-26,2011-02-25,Male,44.0,2010-02-26,1,Saloon,Wine,TOYOTA,Festac,Benue,Car Classic,1,0
414,ID_1COUM0B,2010-01-08,2011-01-07,Male,45.0,2010-01-08,1,Saloon,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,1
415,ID_1CWOBX4,2010-07-04,2011-07-03,Male,48.0,2010-07-04,1,Saloon,Black,Peugeot,Agege,Lagos,Car Plus,1,1
418,ID_1D5LCZF,2010-09-16,2011-09-15,Male,52.0,2010-09-16,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
420,ID_1DHMAC1,2010-06-11,2011-06-10,Male,28.0,2010-06-11,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,0,0
432,ID_1EOHPSF,2010-06-17,2011-06-16,Male,39.0,2010-06-17,1,Truck,White,Iveco,Victoria Island,Lagos,CVTP,1,1
433,ID_1EPDMGM,2010-09-18,2011-09-17,Male,48.0,2010-09-18,2,Saloon,Silver,TOYOTA,Alimosho,Lagos,Car Classic,1,0
437,ID_1FA0PNH,2010-01-28,2011-01-27,Male,36.0,2010-01-28,2,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
452,ID_1GU7HBN,2010-05-09,2011-05-08,Female,34.0,2010-05-09,1,JEEP,Black,Nissan,Awka South,Awka-South,Car Classic,0,1
462,ID_1IEJMXT,2010-05-31,2011-05-29,Male,42.0,2010-05-31,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0,1
469,ID_1J9II7G,2010-08-30,2011-08-29,Female,44.0,2010-08-30,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,1,1
472,ID_1JGHYT3,2010-03-07,2011-03-06,Male,45.0,2010-03-07,1,Saloon,Silver,Hyundai,Asokoro District,Abuja,Car Classic,0,0
474,ID_1JL7FO6,2010-11-20,2011-11-19,Female,70.0,2010-11-20,2,Saloon,Black,Hyundai,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,1
476,ID_1JNAIXM,2010-10-31,2011-10-30,Male,41.0,2010-10-31,1,Saloon,Black,Honda,Ile-Oluji,Ile-Oluji,Car Classic,0,1
478,ID_1JRMQSP,2010-02-26,2011-02-25,Male,38.0,2010-02-26,1,Saloon,Green,Volkswagen,Obia/Akpor,Obia-Akpor,Car Plus,0,0
500,ID_1LXD5W8,2010-01-06,2011-01-05,Female,61.0,2010-01-06,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0,1
502,ID_1M2240M,2010-07-03,2011-07-02,Male,20.0,2010-07-03,5,Saloon,Green,Mercedes,Victoria Island,Lagos,Car Classic,0,0
509,ID_1MIDZ0K,2010-09-03,2011-09-02,Male,42.0,2010-09-03,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0,1
516,ID_1NB89Q5,2010-02-23,2011-01-22,Female,39.0,2010-02-23,1,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
518,ID_1NDVDIP,2010-04-11,2011-04-10,Female,37.0,2010-04-11,1,Saloon,Black,Honda,Port-Harcourt,Port-Harcourt,Car Classic,0,1
519,ID_1NEBCEH,2010-11-18,2011-11-17,Male,46.0,2010-11-18,1,Saloon,Blue,Honda,Ifako-Ijaye ,Ifako-Ijaye,CarFlex,0,0
520,ID_1NJUN7A,2010-11-29,2011-11-28,Female,52.0,2010-11-29,1,JEEP,Green,Hyundai,Eti-Osa,Eti-Osa,Car Classic,0,0
525,ID_1NZZEZS,2010-01-24,2010-12-31,Female,52.0,2010-01-24,2,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0,1
534,ID_1OVST5Q,2010-03-18,2011-03-17,Male,66.0,2010-03-18,1,JEEP,Silver,TOYOTA,Alagbado,Lagos,Car Classic,0,0
535,ID_1P275L5,2010-01-10,2011-01-09,Male,43.0,2010-01-10,1,Saloon,Red,TOYOTA,Ikorodu,Lagos,Car Classic,1,0
546,ID_1PZ90EM,2010-07-30,2011-07-29,Male,50.0,2010-07-30,2,Saloon,Ash,TOYOTA,Ikeja,Lagos,Car Classic,0,0
556,ID_1QR4SVV,2010-02-09,2011-02-08,Female,43.0,2010-02-09,1,Saloon,Black,Kia,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
557,ID_1QTCJ0C,2010-05-17,2011-05-16,Female,32.0,2010-05-17,1,Saloon,Gold,TOYOTA,Surulere,Lagos,Car Classic,0,0
578,ID_1TS8S86,2010-05-17,2011-05-16,Male,38.0,2010-05-17,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0,1
581,ID_1U4820X,2010-06-14,2011-06-13,Male,43.0,2010-06-14,2,JEEP,Black,Mitsubishi,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
583,ID_1U77AQW,2010-03-15,2011-03-14,Male,39.0,2010-03-15,1,Saloon,Grey,TOYOTA,Ikorodu,Lagos,Car Classic,0,1
587,ID_1USOPRM,2010-12-20,2011-12-19,Male,63.0,2010-12-20,1,JEEP,Black,Nissan,Lagos Island,Lagos,Car Classic,0,1
588,ID_1UUT46P,2010-06-27,2011-06-26,Male,34.0,2010-06-27,1,Saloon,Silver,TOYOTA,ISHERI,Benue,Car Classic,0,0
591,ID_1VJM18R,2010-03-25,2011-03-24,Male,41.0,2010-03-25,3,Saloon,Black,Volkswagen,Lekki,Lagos,Car Classic,0,1
592,ID_1VM7591,2010-11-12,2011-11-10,Female,20.0,2010-11-12,3,JEEP,Green,Ford,Victoria Island,Lagos,Car Classic,0,0
604,ID_1WP8205,2010-03-28,2011-03-25,Female,44.0,2010-03-28,1,Saloon,Grey,Nissan,Lekki,Lagos,Car Classic,1,1
607,ID_1WRRVHH,2010-05-23,2011-05-22,Male,34.0,2010-05-23,3,Saloon,Wine,TOYOTA,Ajah,Lagos,Car Classic,1,0
628,ID_1YVYDZR,2010-07-17,2011-07-16,Female,46.0,2010-07-17,2,Saloon,Grey,Honda,Kosofe,Benue,Car Classic,0,1
634,ID_1ZM6AAT,2010-10-05,2011-10-04,Female,41.0,2010-10-05,2,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
637,ID_1ZVEHPG,2010-05-16,2011-05-15,Female,37.0,2010-05-16,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
650,ID_21ANRC4,2010-07-23,2011-07-22,Male,58.0,2010-07-23,1,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
651,ID_21D1IFT,2010-11-20,2011-11-19,Female,31.0,2010-11-20,1,Saloon,Red,Kia,Surulere,Lagos,Car Classic,0,0
665,ID_227P0O1,2010-05-24,2011-05-23,Male,36.0,2010-05-24,2,Saloon,Gold,Honda,Surulere,Lagos,Car Plus,0,0
666,ID_2282GBA,2010-08-21,2011-02-19,Female,37.0,2010-08-21,1,Saloon,Black,TOYOTA,Abuja,Abuja,Car Plus,0,1
681,ID_23X554C,2010-12-20,2011-12-19,Male,40.0,2010-12-20,1,JEEP,Green,Mercedes,Ikeja,Lagos,Car Classic,0,0
686,ID_2496Y9X,2010-07-04,2011-07-03,Male,56.0,2010-07-04,1,JEEP,Black,Jeep,Shagamu,Ogun,Car Classic,0,1
687,ID_24BNDUP,2010-07-12,2011-07-11,Male,35.0,2010-07-12,1,Saloon,Black,TOYOTA,Nnewi North,Nnewi-North,Car Classic,0,1
695,ID_2529E17,2010-03-15,2011-03-14,Female,39.0,2010-03-15,1,JEEP,Ash,Lexus,Surulere,Lagos,Car Classic,0,0
697,ID_259XHKT,2010-05-30,2011-05-29,Male,57.0,2010-05-30,1,JEEP,Black,Ford,Aboh-Mbaise,Aboh-Mbaise,Car Classic,0,1
699,ID_25CHSGU,2010-01-08,2011-01-07,Female,42.0,2010-01-08,1,JEEP,Black,Honda,Kosofe,Benue,Car Classic,0,1
702,ID_25TUDUF,2010-06-18,2011-06-17,Male,42.0,2010-06-18,1,Saloon,Silver,TOYOTA,Lekki,Lagos,Car Classic,1,0
704,ID_268YYWJ,2010-10-14,2011-04-25,Male,40.0,2010-10-14,1,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,1
713,ID_274J32T,2010-07-03,2011-04-07,Male,43.0,2010-07-03,1,JEEP,Black,Mercedes,Victoria Island,Lagos,Car Classic,0,1
722,ID_27SJAPW,2010-07-05,2011-07-04,Male,57.0,2010-07-05,2,JEEP,Black,TOYOTA,Akinyele,Benue,Car Classic,0,1
723,ID_27TXJNQ,2010-06-28,2011-06-27,Female,46.0,2010-06-28,1,JEEP,Silver,Range Rover,Lekki,Lagos,Customized Motor,0,0
728,ID_28MEXRG,2010-02-19,2011-02-18,Female,41.0,2010-02-19,1,Saloon,Green,TOYOTA,Abuja,Abuja,Car Classic,0,0
735,ID_29A33DB,2010-04-16,2011-04-15,Male,59.0,2010-04-16,2,Pick Up,Silver,Honda,Oyo,Oyo,Customized Motor,0,0
736,ID_29CPSZQ,2010-03-01,2011-03-01,Male,37.0,2010-03-01,1,Saloon,Grey,Honda,Yaba,Benue,Car Classic,0,1
746,ID_2BEK8QW,2010-04-25,2011-03-09,Male,31.0,2010-04-25,2,Saloon,Red,TOYOTA,OGBA,Benue,Car Classic,1,0
755,ID_2C775KM,2010-05-26,2011-05-25,Male,19.0,2010-05-26,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,CarSafe,0,1
757,ID_2C7YUAU,2010-07-01,2011-06-30,Female,51.0,2010-07-01,4,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,1
758,ID_2CFW65E,2010-05-23,2011-05-22,Female,79.0,2010-05-23,1,JEEP,Black,TOYOTA,Oredo,Benue,Car Classic,1,1
762,ID_2CR4BW9,2010-04-26,2011-04-25,Male,38.0,2010-04-26,2,Saloon,Black,Mercedes,Ilupeju,Lagos,Car Plus,0,1
772,ID_2DL1VCD,2010-04-06,2011-04-05,Male,36.0,2010-04-06,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0,0
773,ID_2DLO8BB,2010-03-07,2011-03-06,Male,38.0,2010-03-07,1,Saloon,Black,Audi,Eti-Osa,Eti-Osa,Car Classic,0,1
777,ID_2EBS770,2010-07-28,2011-07-27,Male,40.0,2010-07-28,2,Saloon,White,Mercedes,OGBA,Benue,Car Plus,0,1
785,ID_2FCKHW9,2010-10-25,2011-07-27,Male,37.0,2010-10-25,1,Saloon,Green,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,0
791,ID_2FSH3ZL,2010-04-09,2011-04-04,Female,30.0,2010-04-09,1,Saloon,Green,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,0
792,ID_2FVQ9ZF,2010-02-05,2011-02-04,Male,30.0,2010-02-05,1,Saloon,White,TOYOTA,Lekki,Lagos,Car Classic,1,1
794,ID_2G4R4G7,2010-02-04,2011-02-03,Male,30.0,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,0,1
798,ID_2GK0PV3,2010-11-08,2011-11-07,Male,44.0,2010-11-08,1,Saloon,Black,TOYOTA,Ifako-Ijaye ,Ifako-Ijaye,Car Classic,0,1
801,ID_2GZPV2U,2010-03-29,2011-03-28,Joint Gender,45.0,2010-03-29,1,JEEP,Black,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
805,ID_2H55IJT,2010-06-25,2011-06-24,Male,43.0,2010-06-25,2,JEEP,Black,Lexus,Shomolu,Benue,Car Classic,0,1
809,ID_2HASJN3,2010-07-06,2011-07-05,Female,38.0,2010-07-06,1,Saloon,Green,Hyundai,Port Harcourt,Rivers,Car Classic,0,0
812,ID_2HQ06E4,2010-11-07,2011-11-06,Male,43.0,2010-11-07,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
813,ID_2HTCFLG,2010-09-24,2011-09-23,Joint Gender,73.0,2010-09-24,1,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,1
814,ID_2HTJMUX,2010-04-10,2011-04-09,Female,34.0,2010-04-10,1,Saloon,Ash,TOYOTA,AKUTE,Benue,Car Classic,0,0
817,ID_2IMEOEN,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,0,1
819,ID_2INUI1S,2010-02-27,2011-02-26,Male,46.0,2010-02-27,2,Bus,Gold,TOYOTA,Victoria Island,Lagos,Car Classic,0,0
820,ID_2IOQAKR,2010-02-21,2011-02-20,Male,51.0,2010-02-21,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
832,ID_2JKAUIG,2010-02-20,2011-02-19,Male,45.0,2010-02-20,4,JEEP,Black,Honda,Victoria Island,Lagos,Car Classic,0,1
837,ID_2KJPXBO,2010-11-22,2011-11-21,Female,52.0,2010-11-22,1,Saloon,Blue,Honda,Surulere,Lagos,Car Classic,0,0
843,ID_2KYYOEE,2010-05-20,2011-05-13,Male,44.0,2010-05-20,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,1,1
846,ID_2L0H9US,2010-05-23,2011-05-22,Male,34.0,2010-05-23,2,JEEP,Black,TOYOTA,Warri Central,Warri-Central,Car Classic,0,1
849,ID_2LDU1GQ,2010-02-15,2011-02-14,Joint Gender,47.0,2010-02-15,1,Saloon,Black,TOYOTA,Lekki,Lagos,Car Classic,0,1
850,ID_2LHEZPD,2010-05-10,2011-05-09,Male,35.0,2010-05-10,1,Truck,Orange,Mercedes,Victoria Island,Lagos,CVTP,0,0
859,ID_2N317ZT,2010-08-28,2011-08-27,Male,66.0,2010-08-28,3,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
860,ID_2N8DMW5,2010-09-14,2011-09-13,Male,43.0,2010-09-14,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,Car Plus,1,1
862,ID_2NNS6XB,2010-06-24,2011-06-23,Male,54.0,2010-06-24,1,Saloon,Black,Mercedes,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
870,ID_2OPJN9F,2010-11-26,2011-11-25,Male,66.0,2010-11-26,2,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,1,1
890,ID_2QSOUCZ,2010-04-04,2011-04-03,Female,28.0,2010-04-04,1,Saloon,Silver,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,0
895,ID_2RJOHLV,2010-11-22,2011-11-21,Female,58.0,2010-11-22,2,JEEP,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,1
901,ID_2S28MB7,2010-07-30,2011-07-29,Male,54.0,2010-07-30,1,JEEP,Blue,Nissan,Ikeja,Lagos,Car Classic,0,0
902,ID_2S32R1Z,2010-12-05,2011-12-04,Female,40.0,2010-12-05,4,Saloon,Black,Mercedes,Victoria Island,Lagos,Customized Motor,0,1
907,ID_2SDWXIZ,2010-07-10,2011-07-09,Female,81.0,2010-07-10,2,Saloon,Silver,TOYOTA,Ikoyi,Lagos,Car Classic,0,0
910,ID_2SSN4XW,2010-04-30,2011-04-29,Female,40.0,2010-04-30,1,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
